Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/rails,Ruby on Rails,rails,"ruby, web",https://github.com/rails/gsoc2013/wiki/Ideas
google/gsoc2013/sciruby,Ruby Science Foundation,sciruby,"science, ruby, linear algebra, biology, physics, chemistry, statistics, math, c, c++, probability, matrices, numerical methods",https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2013-Ideas
google/gsoc2013/sage,Sage Mathematical Software System,sage,"math, python, cython, maths, statistics, algebra, c++, cpp, linux, calculus, ",https://docs.google.com/document/d/1ipzvwbhfujaubDe0QVO-V9JmmRcLZvitaeXh4r2WNqA/pub
google/gsoc2013/sahana,Sahana Software Foundation,sahana,"HFOSS, Disaster Response, Python, Web2Py, PHP, LAMP, Mobile, Portable Apps",http://wiki.sahanafoundation.org/doku.php/community:gsoc:gsoc2013:ideas
google/gsoc2013/samba,Samba,samba,C SMB CIFS Kernel,http://wiki.samba.org/index.php/SoC/Ideas
google/gsoc2013/scaffoldhunter,Scaffold Hunter,scaffoldhunter,"Visual Analytics, Information Visualization, Graph Drawing, Cheminformatics, Medical Image Retrieval",http://scaffoldhunter.sourceforge.net/wiki/doku.php?id=project_ideas
google/gsoc2013/epfl_scala,Scala Team,epfl_scala,scala,http://www.scala-lang.org/gsoc2013
google/gsoc2013/scummvm,ScummVM,scummvm,"scummvm, multiplatform, games, adventures, point and click, 2D, play, C++, retro-gaming",http://wiki.scummvm.org/index.php/GSoC_Ideas
google/gsoc2013/shogun,Shogun Machine Learning Toolbox,shogun,"machine learning, science, math, statistics, bioinformatics, large scale learning, support vector machine, open source, free software, python, c++, d3js, django, swig",http://shogun-toolbox.org/page/Events/gsoc2013_ideas
google/gsoc2013/sigmah,Sigmah,sigmah,"java, gwt, drupal, humanitarian, project management, hfoss",http://code.google.com/p/sigma-h/wiki/Ideas4GSoC2013
google/gsoc2013/libsdl,Simple DirectMedia Layer,libsdl,"games, graphics, video, sound, input devices, cross-platform, multimedia, C, C++, visual testing, build systems",http://www.libsdl.org/gsoc.php
google/gsoc2013/simplecv,SimpleCV,simplecv,"Computer Vision, Image Processing, Machine Vision, Python",http://simplecv.org/gsoc/2013
google/gsoc2013/sbcl,Steel Bank Common Lisp,sbcl,"Lisp, compilation, interpretation, garbage collection, object-orientation",http://www.sbcl.org/gsoc2013/ideas/
